macPrefix,vendor,OS_family
00:05:02,"Apple, Inc.",macos
00:10:FA,"Apple, Inc.",macos
00:A0:40,"Apple, Inc.",macos
08:00:07,"Apple, Inc.",macos
00:03:93,"Apple, Inc.",macos
00:0A:27,"Apple, Inc.",macos
00:30:65,"Apple, Inc.",macos
00:50:E4,"Apple, Inc.",macos
00:0A:95,"Apple, Inc.",macos
00:0D:93,"Apple, Inc.",macos
00:11:24,"Apple, Inc.",macos
00:14:51,"Apple, Inc.",macos
00:16:CB,"Apple, Inc.",macos
00:17:F2,"Apple, Inc.",macos
00:19:E3,"Apple, Inc.",macos
00:1B:63,"Apple, Inc.",macos
00:1C:B3,"Apple, Inc.",macos
00:1D:4F,"Apple, Inc.",macos
00:1E:52,"Apple, Inc.",macos
00:1E:C2,"Apple, Inc.",macos
00:1F:5B,"Apple, Inc.",macos
00:1F:F3,"Apple, Inc.",macos
00:21:E9,"Apple, Inc.",macos
00:22:41,"Apple, Inc.",macos
00:23:12,"Apple, Inc.",macos
00:23:32,"Apple, Inc.",macos
00:23:6C,"Apple, Inc.",macos
00:23:DF,"Apple, Inc.",macos
00:24:36,"Apple, Inc.",macos
00:25:00,"Apple, Inc.",macos
00:25:4B,"Apple, Inc.",macos
00:25:BC,"Apple, Inc.",macos
00:26:08,"Apple, Inc.",macos
00:26:4A,"Apple, Inc.",macos
00:26:B0,"Apple, Inc.",macos
00:26:BB,"Apple, Inc.",macos
04:1E:64,"Apple, Inc.",macos
34:15:9E,"Apple, Inc.",macos
60:FB:42,"Apple, Inc.",macos
64:B9:E8,"Apple, Inc.",macos
7C:6D:62,"Apple, Inc.",macos
90:84:0D,"Apple, Inc.",macos
B0:AA:36,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
D4:9A:20,"Apple, Inc.",macos
F8:1E:DF,"Apple, Inc.",macos
40:D3:2D,"Apple, Inc.",macos
58:B0:35,"Apple, Inc.",macos
D8:30:62,"Apple, Inc.",macos
E8:06:88,"Apple, Inc.",macos
C4:2C:03,"Apple, Inc.",macos
90:27:E4,"Apple, Inc.",macos
D8:A2:5E,"Apple, Inc.",macos
60:33:4B,"Apple, Inc.",macos
5C:59:48,"Apple, Inc.",macos
7C:C5:37,"Apple, Inc.",macos
78:CA:39,"Apple, Inc.",macos
C8:BC:C8,"Apple, Inc.",macos
18:E7:F4,"Apple, Inc.",macos
B8:FF:61,"Apple, Inc.",macos
CC:08:E0,"Apple, Inc.",macos
10:93:E9,"Apple, Inc.",macos
10:9A:DD,"Apple, Inc.",macos
24:AB:81,"Apple, Inc.",macos
